Accession ID,Accession name,Tiller number,Tiller angle (°),Plant height (cm),Flag leaf length (cm),Flag leaf width (cm),Flag leaf length / width,Flag leaf angle,Panicle number,Panicle type,Panicle length (cm),Pericarp color,Hull color
CH304,Huangkechi,12.0,17.5,111.2,27.0,1.44,18.7142857142857,1.0,8.83333333333333,2.0,22.3375,0.0,0.0
CH305,Yinzhan,15.1666666666667,11.8333333333333,134.0,37.7,1.22,30.8846153846154,1.0,9.16666666666667,3.0,24.275,0.0,0.0
CH306,Heinuo,12.0,26.5,140.0,26.4,1.2,22.0,3.0,9.16666666666667,2.0,23.625,0.0,0.0
CH307,Baishiyan,10.6666666666667,11.0,111.5,28.5,1.6,17.8125,1.0,9.83333333333333,2.0,19.825,0.0,0.0
CH308,Manzhongkuai,12.0,17.5,111.2,27.0,1.44,18.7142857142857,1.0,8.83333333333333,2.0,22.3375,0.0,0.0
CH309,Potouzhong,12.0,17.5,111.2,27.0,1.44,18.7142857142857,1.0,8.83333333333333,2.0,22.3375,0.0,0.0
CH310,Qimei,12.0,17.5,111.2,27.0,1.44,18.7142857142857,1.0,8.83333333333333,2.0,22.3375,0.0,0.0
CH311,NEANG SAN,12.0,17.5,111.2,27.0,1.44,18.7142857142857,1.0,8.83333333333333,2.0,22.3375,0.0,0.0
CH312,Xianshuiyang,12.0,17.5,111.2,27.0,1.44,18.7142857142857,1.0,8.83333333333333,2.0,22.3375,0.0,0.0
CH313,Zaomiaosi,12.5,23.1666666666667,128.5,31.6,1.6,19.756862745098,1.0,11.1666666666667,2.0,23.775,0.0,0.0
CH314,Dayexiaoxianggu,10.3333333333333,23.1666666666667,130.0,26.9,1.54,17.478431372549,1.0,9.0,2.0,23.75,0.0,0.0
CH315,Qihuangzhan,11.1666666666667,31.1666666666667,128.5,31.1,1.68,18.5245098039216,3.0,8.33333333333333,2.0,25.475,0.0,0.0
CH316,Chizaoxian,8.16666666666667,27.5,115.5,28.6,1.46,19.6083333333333,5.0,7.33333333333333,3.0,23.625,0.0,0.0
CH317,Yelicang,9.16666666666667,24.5,136.25,29.8,1.46,20.3952380952381,5.0,7.83333333333333,4.0,26.25,0.0,0.0
CH318,Baiguzi,12.0,23.6666666666667,134.75,30.8,1.68,18.3529411764706,1.0,7.33333333333333,2.0,25.15,0.0,0.0
CH319,Wuganzao,9.0,16.3333333333333,130.5,31.9,1.32,24.1391941391941,3.0,8.66666666666667,3.0,22.2,1.0,0.0
CH320,Yintiaozhan,9.33333333333333,20.1666666666667,138.5,24.4,1.44,16.9190476190476,3.0,7.16666666666667,1.0,21.625,0.0,0.0
CH322,BG 170,10.6666666666667,10.6666666666667,117.75,18.1,1.28,14.1666666666667,3.0,7.66666666666667,2.0,23.1,0.0,0.0
CH324,Dahonggu2,6.16666666666667,22.8333333333333,130.0,28.2,1.64,17.1957516339869,3.0,6.33333333333333,3.0,24.325,0.0,0.0
CH325,Youzhan,8.83333333333333,25.5,71.0,23.3,1.42,16.4051282051282,1.0,7.83333333333333,2.0,20.85,0.0,0.0
CH326,Shuibawang,9.5,34.5,84.0,25.7,2.06,12.4575757575758,1.0,7.33333333333333,1.0,22.475,0.0,0.0
CH327,Lichuanbaimaweizhan,11.6666666666667,11.5,134.0,31.4,1.28,24.5384615384615,3.0,7.66666666666667,2.0,23.1,0.0,0.0
CH328,Tedali,10.8333333333333,25.0,76.0,19.3,1.6,12.0727941176471,3.0,9.33333333333333,2.0,23.25,0.0,0.0
CH329,Ziyedao,12.0,21.3333333333333,114.75,33.7,1.22,28.0313852813853,1.0,9.83333333333333,3.0,22.725,0.0,0.0
CH330,Guangling124,8.0,15.1666666666667,138.5,28.2,1.46,19.3095238095238,3.0,7.16666666666667,3.0,21.2,0.0,0.0
CH331,Hongmixiangmazhan,16.1666666666667,11.6666666666667,122.5,32.3,1.16,27.8484848484848,1.0,9.66666666666667,2.0,21.325,1.0,0.0
CH332,Xiaomagu,10.6666666666667,16.5,144.5,30.7,1.68,18.2720588235294,3.0,5.66666666666667,3.0,25.15,1.0,1.0
CH333,Lengshuizhan,9.66666666666667,9.66666666666667,136.75,29.8,1.64,18.2083333333333,1.0,7.16666666666667,2.0,24.775,0.0,1.0
CH334,Tiegangu,9.5,28.8333333333333,111.75,35.7,1.62,22.1058823529412,3.0,7.66666666666667,2.0,22.175,0.0,0.0
CH337,Guangdongzaoxiang,11.8333333333333,19.1666666666667,117.25,27.2,1.38,19.7032967032967,1.0,8.5,3.0,22.375,0.0,0.0
CH338,Xiajiaoheidao,10.0,25.8333333333333,144.75,25.6,1.1,23.480303030303,3.0,7.16666666666667,3.0,21.925,0.0,0.0
CH339,Hejian,12.0,30.3333333333333,120.5,34.5,1.18,29.25,3.0,9.33333333333333,3.0,22.4,0.0,0.0
CH340,Hantaizhan,12.0,17.5,111.2,27.0,1.44,18.7142857142857,1.0,8.83333333333333,2.0,22.3375,0.0,0.0
CH341,Xinzhenggu,9.66666666666667,21.8333333333333,130.25,39.9,1.52,26.2410714285714,3.0,7.66666666666667,3.0,24.45,0.0,0.0
CH342,Jiangbanuo,11.8333333333333,29.3333333333333,132.25,27.9,1.58,17.6625,1.0,8.0,3.0,23.625,0.0,0.0
CH343,Haodongleng,7.66666666666667,12.0,150.0,25.5,1.68,15.2226307189542,3.0,5.66666666666667,2.0,27.525,0.0,1.0
CH344,Haobawan,11.1666666666667,26.6666666666667,149.0,29.3,1.36,21.543956043956,1.0,8.33333333333333,2.0,26.15,0.0,0.0
CH345,Haobixiang,10.1666666666667,10.3333333333333,137.25,28.0,1.5,18.6666666666667,1.0,6.66666666666667,2.0,23.8,1.0,1.0
CH346,Yinxuan1hao,6.5,20.6666666666667,128.0,27.0,1.44,18.7142857142857,1.0,6.0,2.0,24.4,0.0,0.0
CH347,Lengshuibai,12.0,15.1666666666667,111.2,27.0,1.44,18.7142857142857,1.0,8.83333333333333,2.0,22.3375,0.0,0.0
CH348,Xiaobaigu,12.0,17.5,111.2,27.0,1.44,18.7142857142857,1.0,8.83333333333333,2.0,22.3375,0.0,0.0
CH349,Bairizao,11.3333333333333,11.6666666666667,129.25,30.7,1.4,21.9234432234432,1.0,7.83333333333333,2.0,23.1,1.0,0.0
CH350,Dingyaungu,12.6666666666667,9.66666666666667,131.2,24.7,1.26,19.6089743589744,3.0,8.5,2.0,29.425,1.0,0.0
CH351,Honggu,14.8333333333333,12.6666666666667,144.0,27.8,1.28,21.7435897435897,1.0,10.0,2.0,24.075,1.0,0.0
CH352,Zigangu,8.66666666666667,10.6666666666667,184.0,37.1,1.74,21.5410646714826,3.0,6.0,2.0,22.3375,0.0,0.0
CH353,Xiaobaigu,13.5,10.3333333333333,134.25,29.9,1.38,21.6758241758242,3.0,9.0,2.0,28.8,1.0,0.0
CH354,Laozhuangbai,8.66666666666667,11.3333333333333,154.333333333333,27.9,1.5,18.6,3.0,7.16666666666667,2.0,24.975,0.0,0.0
CH355,Dongdabai,9.5,9.66666666666667,171.6,31.4,1.88,16.7163742690058,5.0,5.0,2.0,29.575,1.0,1.0
CH356,Niumaoxiangzao,10.3333333333333,28.8333333333333,129.25,30.8,1.44,21.3428571428571,3.0,9.83333333333333,3.0,22.125,1.0,0.0
CH357,Damagu,11.1666666666667,24.3333333333333,132.25,39.22,1.62,24.2367647058824,3.0,10.1666666666667,4.0,23.75,0.0,0.0
CH358,Hongmidao,15.6666666666667,18.8333333333333,99.0,22.7,1.06,21.4454545454545,3.0,11.0,2.0,18.775,1.0,1.0
