№ каталога ВИР,Дата посева,Посев-начало всходов (дней),Начало всходов-начало цветения (дней),Начало всходов-конец цветения (дней),Начало цветения-конец цветения (дней),Начало цветения- начало созревания (дней),Начало всходов- начало созревания (дней),Начало всходов- полное созревание (дней),Начало созревания-полное созревание (дней),Цветок - окраска,Стебель окраска,Форма куста,Размер листочка,Цветоножка (окраска),Аскохитоз (поражение) 2017,Стебель- ветвистость (балл),Стебель  длина ветвей 1-го порядка,Стебель - характер ветвления (ветви 1-го порядка),Стебель - характер ветвления (ветви 2-го порядка),Осыпаемость бобов,Растрескиваемость бобов,Ptht 1,Ptht 2,Ptht 3,Ptht 4,Ptht 5,Hlp 1,Hlp 2,Hlp 3,Hlp 4,Hlp 5,Byld 1,Byld 2,Byld 3,Byld 4,Byld 5,WpWp 1,WpWp 2,WpWp 3,WpWp 4,WpWp 5,PPP 1,PPP 2,PPP 3,PPP 4,PPP 5,SPP 1,SPP 2,SPP 3,SPP 4,SPP 5,SYDS 1,SYDS 2,SYDS 3,SYDS 4,SYDS 5,PodSH,PDL 1,PDL 2,PDL 3,PDL 4,PDL 5,PDW 1,PDW 2,PDW 3,PDW 4,PDW 5,SSH,SCO,TSW,SNP ID
628,2017-05-02,7,32,61,29,38,70,82,12,3,5,5,5,7,5,3,7,7,5,2,1,50.0,55.0,56.0,50.0,46.0,18.0,20.0,24.0,16.0,21.0,88.7,58.4,64.5,23.6,33.4,33.0,16.5,18.3,9.4,7.5,120.0,89.0,100.0,44.0,48.0,144.0,113.0,113.0,42.0,64.0,36.6,36.7,27.4,9.4,13.2,7,25.0,25.0,27.0,25.0,26.0,11.0,10.0,12.0,12.0,12.0,5,1,285.0,VIR0628
632,2017-05-02,8,30,64,34,43,73,93,20,1,3,3,5,3,5,9,5,7,5,1,1,53.0,50.0,45.0,50.0,52.0,21.0,27.0,26.0,21.0,27.0,97.2,39.6,24.5,27.9,121.5,50.5,18.8,10.1,15.6,61.5,113.0,57.0,40.0,46.0,156.0,166.0,56.0,65.0,51.0,167.0,26.3,8.5,13.2,7.3,32.6,7,24.0,22.0,22.0,22.0,22.0,12.0,11.0,11.0,11.0,11.0,5,1,225.0,VIR0632
633,2017-05-02,7,34,63,29,39,73,82,9,1,3,5,5,3,7,5,7,7,5,2,2,50.0,50.0,50.0,57.0,56.0,17.0,16.0,17.0,22.0,17.0,43.6,42.8,83.6,42.4,85.5,24.5,21.4,18.6,15.3,29.5,45.0,20.0,117.0,56.0,112.0,32.0,14.0,124.0,57.0,100.0,4.9,1.7,26.7,16.6,21.5,5,25.0,25.0,24.0,25.0,25.0,12.0,13.0,12.0,12.0,13.0,5,1,325.0,VIR0633
634,2017-05-02,7,34,64,30,40,74,82,8,1,3,3,5,3,7,9,7,7,5,2,2,50.0,53.0,67.0,70.0,55.0,17.0,18.0,27.0,20.0,21.0,44.3,267.8,99.4,83.0,29.2,9.8,88.3,40.8,31.1,11.7,63.0,359.0,112.0,102.0,34.0,51.0,367.0,85.0,99.0,32.0,12.1,101.0,19.2,19.3,9.2,5,24.0,21.0,25.0,25.0,25.0,12.0,11.0,13.0,13.0,12.0,5,1,330.0,VIR0634
635,2017-05-02,7,31,63,32,41,72,82,10,3,5,5,5,7,7,9,7,7,7,2,2,55.0,47.0,53.0,50.0,50.0,20.0,20.0,18.0,18.0,20.0,29.9,67.5,101.5,46.6,33.7,9.3,26.5,41.2,11.1,12.2,48.0,98.0,118.0,82.0,60.0,56.0,115.0,161.0,103.0,64.0,12.1,23.4,27.4,20.3,11.9,7,25.0,25.0,25.0,25.0,24.0,12.0,12.0,11.0,12.0,11.0,3,11,275.0,VIR0635
638,2017-05-02,7,31,51,20,39,70,82,12,3,5,5,5,7,7,9,7,7,7,2,2,55.0,46.0,40.0,53.0,43.0,26.0,18.0,16.0,18.0,18.0,27.1,29.7,22.3,20.1,18.4,4.7,10.0,8.1,5.5,5.0,56.0,58.0,41.0,44.0,48.0,75.0,75.0,49.0,84.0,67.0,8.8,7.5,5.5,9.8,8.1,7,22.0,22.0,21.0,22.0,23.0,11.0,10.0,12.0,11.0,11.0,3,11,165.0,VIR0638
641,2017-05-02,8,30,63,33,39,69,81,12,1,3,3,5,3,7,9,7,7,5,2,2,63.0,50.0,53.0,60.0,55.0,21.0,20.0,17.0,20.0,18.0,46.6,53.0,27.6,50.6,57.0,19.8,20.4,14.7,25.5,24.6,70.0,93.0,36.0,106.0,88.0,79.0,86.0,28.0,76.0,88.0,11.0,14.6,4.5,12.5,14.7,7,23.0,22.0,22.0,23.0,22.0,13.0,12.0,11.0,13.0,11.0,5,1,255.0,VIR0641
642,2017-05-02,7,31,49,18,39,70,82,12,3,5,5,5,7,7,9,7,7,5,1,2,56.0,50.0,43.0,41.0,56.0,21.0,16.0,17.0,20.0,27.0,59.0,18.8,17.4,15.2,36.3,12.5,8.1,7.6,8.6,13.5,128.0,33.0,37.0,25.0,66.0,225.0,38.0,41.0,29.0,71.0,30.5,4.5,4.7,3.7,10.8,7,20.0,20.0,21.0,21.0,20.0,10.0,10.0,11.0,10.0,10.0,3,10,190.0,VIR0642
643,2017-05-02,7,40,55,15,30,70,82,12,1,3,5,5,3,7,9,5,7,5,2,1,57.0,56.0,65.0,60.0,52.0,21.0,32.0,25.0,30.0,27.0,62.1,33.9,151.8,120.9,123.0,20.3,9.0,66.5,48.8,45.6,65.0,53.0,197.0,137.0,149.0,82.0,51.0,186.0,171.0,165.0,19.7,14.8,42.5,48.0,39.7,7,25.0,25.0,25.0,25.0,25.0,11.0,12.0,11.0,11.0,10.0,5,1,365.0,VIR0643
667,2017-05-02,7,42,65,23,28,70,82,12,3,5,5,5,7,7,9,5,7,7,2,1,50.0,55.0,62.0,67.0,42.0,17.0,18.0,32.0,25.0,22.0,28.1,20.7,18.9,36.3,15.2,9.1,11.5,11.0,23.1,8.8,54.0,33.0,32.0,34.0,24.0,62.0,45.0,34.0,44.0,26.0,10.3,5.2,4.3,4.8,3.4,7,22.0,22.0,22.0,22.0,21.0,11.0,11.0,12.0,11.0,11.0,5,10,225.0,VIR0667
